date;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;pH;sulphates;density;wine type;alcohol;quality;store type;country
11-01-2022;8.1;0.38;0.28;2.1;0.066;13;30;3.23;0.73;;white;9.7;high;store;EE.UU.
11-01-2022;7.8;0.645;0;5.5;0.086;5;18;3.4;0.55;;white;9.6;medium;restaurant;EE.UU.
11-01-2022;8.3;0.655;0.12;2.3;0.083;15;113;3.17;0.66;;red;9.8;medium;restaurant;EE.UU.
11-01-2022;6.9;;0;2.5;0.105;22;37;3.46;0.57;;white;10.6;medium;bar;EE.UU.
11-01-2022;6.9;0.605;0.12;10.7;0.073;40;83;3.45;0.52;;red;9.4;medium;store;EE.UU.
12-01-2022;7.3;0.45;0.36;5.9;0.074;12;87;3.33;0.83;;red;10.5;medium;store;EE.UU.
12-01-2022;8.8;0.61;0.3;2.8;0.088;17;46;3.26;0.51;;red;9.3;low;store;EE.UU.
12-01-2022;7.3;0.45;0.36;5.9;0.074;12;87;3.33;0.83;;red;10.5;medium;store;EE.UU.
12-01-2022;5.7;1.13;0.09;1.5;0.172;7;19;3.5;0.48;0.994;white;9.8;low;store;EE.UU.
13-01-2022;7.5;0.49;0.2;2.6;0.332;8;14;3.21;0.9;;red;10.5;medium;store;EE.UU.
13-01-2022;8.1;0.66;0.22;2.2;0.069;9;23;3.3;1.2;;red;10.3;medium;bar;EE.UU.
13-01-2022;4.6;0.52;0.15;2.1;0.054;8;65;3.9;0.56;;red;13.1;low;restaurant;EE.UU.
13-01-2022;6.8;0.67;0.02;1.8;0.05;5;11;3.48;0.52;;red;9.5;medium;bar;EE.UU.
14-01-2022;7.7;0.935;0.43;2.2;0.114;22;114;3.25;0.73;0.997;white;9.2;medium;bar;EE.UU.
14-01-2022;8.7;0.29;0.52;1.6;0.113;12;37;3.25;0.58;;white;9.5;medium;bar;EE.UU.
14-01-2022;5.6;;0.37;1.4;0.074;12;96;3.32;0.58;;white;9.2;medium;restaurant;EE.UU.
14-01-2022;8.8;0.66;0.26;1.7;0.074;4;23;3.15;0.74;;red;9.2;medium;store;EE.UU.
14-01-2022;6.4;0.4;0.23;1.6;0.066;5;12;3.34;0.56;;white;9.2;medium;bar;EE.UU.
15-01-2022;6.6;0.5;0.04;2.1;0.068;6;14;3.39;0.64;0.9955;red;9.4;medium;store;EE.UU.
15-01-2022;6.6;0.52;0.04;2.2;0.069;8;15;3.4;0.63;;red;9.4;medium;bar;EE.UU.
15-01-2022;8.6;0.38;0.36;3;0.081;30;119;3.2;0.56;;white;9.4;medium;restaurant;EE.UU.
16-01-2022;10.2;0.42;0.57;3.4;0.07;4;10;3.04;0.63;;red;9.6;medium;restaurant;EE.UU.
16-01-2022;7.8;0.59;0.18;2.3;0.076;17;54;3.43;0.59;0.9975;white;10;medium;store;EE.UU.
16-01-2022;7.5;0.63;0.12;5.1;0.111;50;110;3.26;0.77;;red;9.4;medium;restaurant;EE.UU.
16-01-2022;7.6;0.51;0.15;2.8;0.11;33;73;3.17;0.63;;white;10.2;medium;restaurant;EE.UU.
16-01-2022;7.7;0.62;0.04;3.8;0.084;25;45;3.34;0.53;;red;9.5;medium;bar;EE.UU.
17-01-2022;7.7;0.69;0.49;1.8;0.115;20;112;3.21;0.71;;white;9.3;medium;bar;EE.UU.
17-01-2022;7.5;0.52;0.16;1.9;0.085;12;35;3.38;0.62;;white;9.5;high;bar;EE.UU.
17-01-2022;7;0.735;0.05;2;0.081;13;54;3.39;0.57;;white;9.8;medium;store;EE.UU.
17-01-2022;7.3;0.39;0.31;2.4;0.074;9;46;3.41;0.54;;white;9.4;medium;store;EE.UU.
17-01-2022;8.8;0.4;0.4;2.2;0.079;19;52;3.44;0.64;;white;9.2;medium;bar;EE.UU.
17-01-2022;7.2;0.725;0.05;4.65;0.086;4;11;3.41;0.39;;red;10.9;medium;store;EE.UU.
18-01-2022;9.3;0.32;0.57;2;0.074;27;65;3.28;0.79;;white;10.7;medium;store;EE.UU.
18-01-2022;7.2;0.725;0.05;4.65;0.086;4;11;3.41;0.39;;white;10.9;medium;bar;EE.UU.
18-01-2022;8;0.705;0.05;1.9;0.074;8;19;3.34;0.95;;red;10.5;medium;restaurant;EE.UU.
18-01-2022;6.6;0.705;0.07;1.6;0.076;6;15;3.44;0.58;;red;10.7;medium;restaurant;EE.UU.
18-01-2022;7.5;0.52;0.11;1.5;0.079;11;39;3.42;0.58;0.9968;red;9.6;medium;restaurant;EE.UU.
19-01-2022;8.8;0.41;0.64;2.2;0.093;9;42;3.54;0.66;;red;10.5;medium;bar;EE.UU.
19-01-2022;7.7;0.69;0.22;1.9;0.084;18;94;3.31;0.48;;white;9.5;medium;bar;EE.UU.
19-01-2022;7.7;0.63;0.08;1.9;0.076;15;27;3.32;0.54;0.9967;white;9.5;medium;store;EE.UU.
19-01-2022;7.7;0.67;0.23;2.1;0.088;17;96;3.32;0.48;0.9962;red;9.5;medium;restaurant;EE.UU.
19-01-2022;8.3;0.675;0.26;2.1;0.084;11;43;3.31;0.53;0.9976;red;9.2;low;bar;EE.UU.
19-01-2022;9.7;0.32;0.54;2.5;0.094;28;83;3.28;0.82;;red;9.6;medium;store;EE.UU.
20-01-2022;8.3;0.625;0.2;1.5;0.08;27;119;3.16;1.12;;white;9.1;low;bar;EE.UU.
20-01-2022;6.7;0.75;0.12;2;0.086;12;80;3.38;0.52;0.9958;white;10.1;medium;restaurant;EE.UU.
20-01-2022;7.8;0.43;0.7;1.9;0.464;22;67;3.13;1.28;;red;9.4;medium;restaurant;EE.UU.
20-01-2022;8.8;0.41;0.64;2.2;0.093;9;42;3.54;0.66;;red;10.5;medium;store;EE.UU.
20-01-2022;6.8;0.785;0;2.4;0.104;14;30;3.52;0.55;0.9966;red;10.7;medium;restaurant;EE.UU.
20-01-2022;6.2;0.45;0.2;1.6;0.069;3;15;3.41;0.56;;white;9.2;medium;restaurant;EE.UU.
21-01-2022;7.9;0.52;0.26;1.9;0.079;42;140;3.23;0.54;;white;9.5;medium;bar;EE.UU.
21-01-2022;7;0.62;0.08;1.8;0.076;8;24;3.48;0.53;;red;9;medium;restaurant;EE.UU.
21-01-2022;9.3;0.39;0.44;2.1;0.107;34;125;3.14;1.22;0.9978;white;9.5;medium;store;EE.UU.
21-01-2022;7.7;0.49;0.26;1.9;0.062;9;31;3.39;0.64;;white;9.6;medium;restaurant;EE.UU.
21-01-2022;6.3;0.3;0.48;1.8;0.069;18;61;3.44;0.78;;white;10.3;medium;store;EE.UU.
21-01-2022;8.6;0.49;0.28;1.9;0.11;20;136;2.93;1.95;;red;9.9;medium;restaurant;EE.UU.
21-01-2022;7.4;0.5;0.47;2;0.086;21;73;3.36;0.57;;white;9.1;medium;restaurant;EE.UU.
21-01-2022;6.9;0.55;0.15;2.2;0.076;19;40;3.41;0.59;0.9961;white;10.1;medium;restaurant;EE.UU.
21-01-2022;7.3;0.67;0.26;1.8;0.401;16;51;3.16;1.14;;white;9.4;medium;restaurant;EE.UU.
22-01-2022;8.6;0.49;0.28;1.9;0.11;20;136;2.93;1.95;;red;9.9;medium;bar;EE.UU.
22-01-2022;7.7;0.49;0.26;1.9;0.062;9;31;3.39;0.64;;white;9.6;medium;restaurant;EE.UU.
22-01-2022;8.6;0.49;0.29;2;0.11;19;133;2.93;1.98;0.9972;red;9.8;medium;store;EE.UU.
22-01-2022;4.7;0.6;0.17;2.3;0.058;17;106;3.85;0.6;;white;12.9;medium;bar;EE.UU.
22-01-2022;5;1.02;0.04;1.4;0.045;41;85;3.75;0.48;;red;10.5;low;bar;EE.UU.
23-01-2022;7;0.5;0.25;2;0.07;3;22;3.25;0.63;0.9963;white;9.2;medium;store;EE.UU.
23-01-2022;8.1;0.545;0.18;1.9;0.08;13;35;3.3;0.59;;white;9;medium;bar;EE.UU.
23-01-2022;8.3;0.61;0.3;2.1;0.084;11;50;3.4;0.61;;red;10.2;medium;restaurant;EE.UU.
23-01-2022;7.6;0.9;0.06;2.5;0.079;5;10;3.39;0.56;;white;9.8;medium;restaurant;EE.UU.
23-01-2022;6.8;0.775;0;3;0.102;8;23;3.45;0.56;;white;10.7;medium;store;EE.UU.
24-01-2022;7.8;0.5;0.3;1.9;0.075;8;22;3.31;0.56;;red;10.4;medium;store;EE.UU.
25-01-2022;8.1;0.545;0.18;1.9;0.08;13;35;3.3;0.59;;white;9;medium;bar;EE.UU.
26-01-2022;6.2;0.63;0.31;1.7;0.088;15;64;3.46;0.79;;red;9.3;medium;bar;EE.UU.
26-01-2022;8.1;0.575;0.22;2.1;0.077;12;65;3.29;0.51;;red;9.2;medium;restaurant;EE.UU.
26-01-2022;7.8;0.41;0.68;1.7;0.467;18;69;3.08;1.31;;red;9.3;medium;bar;EE.UU.
26-01-2022;7.2;0.49;0.24;2.2;0.07;5;36;3.33;0.48;;red;9.4;medium;restaurant;EE.UU.
26-01-2022;8.1;0.575;0.22;2.1;0.077;12;65;3.29;0.51;;red;9.2;medium;restaurant;EE.UU.
27-01-2022;8;0.33;0.53;2.5;0.091;18;80;3.37;0.8;0.9976;red;9.6;medium;bar;EE.UU.
27-01-2022;7.8;;0.19;1.8;0.104;12;47;3.19;0.93;;red;9.5;medium;bar;EE.UU.
27-01-2022;8.1;0.785;0.52;2;0.122;37;153;3.21;0.69;;white;9.3;medium;store;EE.UU.
27-01-2022;8.4;0.6;0.1;2.2;0.085;14;111;3.15;0.66;;white;9.8;medium;store;EE.UU.
27-01-2022;10.1;0.31;0.44;2.3;0.08;22;46;3.32;0.67;0.9988;white;9.7;medium;bar;EE.UU.
27-01-2022;8.4;0.62;0.09;2.2;0.084;11;108;3.15;0.66;;white;9.8;medium;store;EE.UU.
28-01-2022;7.8;0.56;0.19;1.8;0.104;12;47;3.19;0.93;;white;9.5;medium;bar;EE.UU.
28-01-2022;7.8;0.56;0.12;2;0.082;7;28;3.37;0.5;0.997;white;9.4;medium;store;EE.UU.
28-01-2022;8.3;0.54;0.28;1.9;0.077;11;40;3.39;0.61;;white;10;medium;store;EE.UU.
28-01-2022;9.4;0.4;0.31;2.2;0.09;13;62;3.07;0.63;;white;10.5;medium;store;EE.UU.
01-02-2022;7.3;;0.09;1.7;0.178;10;89;3.3;0.57;;white;9;medium;store;EE.UU.
01-02-2022;8.8;0.55;0.04;2.2;0.119;14;56;3.21;0.6;;red;10.9;medium;store;EE.UU.
01-02-2022;7;0.69;0.08;1.8;0.097;22;89;3.34;0.54;;red;9.2;medium;store;EE.UU.
02-02-2022;9;0.62;0.04;1.9;0.146;27;90;3.16;0.7;;red;9.4;medium;bar;EE.UU.
02-02-2022;8;0.71;0;2.6;0.08;11;34;3.44;0.53;;red;9.5;medium;bar;EE.UU.
02-02-2022;7.3;0.695;0;2.5;0.075;3;13;3.49;0.52;0.998;red;9.2;medium;store;EE.UU.
02-02-2022;7.8;0.5;0.17;1.6;0.082;21;102;3.39;0.48;;red;9.5;medium;bar;EE.UU.
02-02-2022;8.8;0.55;0.04;2.2;0.119;14;56;3.21;0.6;;white;10.9;medium;store;EE.UU.
03-02-2022;8.2;1.33;0;1.7;0.081;3;12;3.53;0.49;;white;10.9;medium;bar;EE.UU.
03-02-2022;8.1;1.33;0;1.8;0.082;3;12;3.54;0.48;;white;10.9;medium;restaurant;EE.UU.
03-02-2022;8;0.59;0.16;1.8;0.065;3;16;3.42;0.92;0.9962;white;10.5;high;bar;EE.UU.
04-02-2022;5.6;0.5;0.09;2.3;0.049;17;99;3.63;0.63;;white;13;medium;store;EE.UU.
04-02-2022;6.1;0.38;0.15;1.8;0.072;6;19;3.42;0.57;;red;9.4;medium;bar;EE.UU.
04-02-2022;8;0.745;0.56;2;0.118;30;134;3.24;0.66;;white;9.4;medium;restaurant;EE.UU.
05-02-2022;7.9;1.04;0.05;2.2;0.084;13;29;3.22;0.55;0.9959;white;9.9;medium;bar;EE.UU.
05-02-2022;6.6;0.5;0.01;1.5;0.06;17;26;3.4;0.58;0.9952;white;9.8;medium;store;EE.UU.
05-02-2022;5.6;0.5;0.09;2.3;0.049;17;99;3.63;0.63;;white;13;medium;store;EE.UU.
06-02-2022;8.3;0.715;0.15;1.8;0.089;10;52;3.23;0.77;;red;9.5;medium;store;EE.UU.
06-02-2022;7.2;0.415;0.36;2;0.081;13;45;3.48;0.64;;white;9.2;medium;restaurant;EE.UU.
06-02-2022;7.8;0.56;0.19;2.1;0.081;15;105;3.33;0.54;;white;9.5;medium;restaurant;EE.UU.
06-02-2022;8.4;0.745;0.11;1.9;0.09;16;63;3.19;0.82;;white;9.6;medium;store;EE.UU.
06-02-2022;7.8;0.56;0.19;2;0.081;17;108;3.32;0.54;;red;9.5;medium;store;EE.UU.
07-02-2022;5.8;0.68;0.02;1.8;0.087;21;94;3.54;0.52;;white;10;medium;restaurant;EE.UU.
07-02-2022;5.2;0.34;0;1.8;0.05;27;63;3.68;0.79;;red;14;medium;bar;EE.UU.
07-02-2022;6.3;0.39;0.08;1.7;0.066;3;20;3.34;0.58;;red;9.4;medium;restaurant;EE.UU.
07-02-2022;8.1;0.67;0.55;1.8;0.117;32;141;3.17;0.62;;red;9.4;medium;store;EE.UU.
07-02-2022;5.2;0.34;0;1.8;0.05;27;63;3.68;0.79;0.9916;red;14;medium;store;EE.UU.
07-02-2022;8.3;0.715;0.15;1.8;0.089;10;52;3.23;0.77;;red;9.5;medium;store;EE.UU.
07-02-2022;8.4;0.745;0.11;1.9;0.09;16;63;3.19;0.82;;white;9.6;medium;bar;EE.UU.
08-02-2022;7.3;0.33;0.47;2.1;0.077;5;11;3.33;0.53;;white;10.3;medium;restaurant;EE.UU.
08-02-2022;9.2;0.52;1;3.4;0.61;32;69;2.74;2.0;;white;9.4;low;bar;EE.UU.
08-02-2022;6.9;0.49;0.1;2.3;0.074;12;30;3.42;0.58;;white;10.2;medium;store;EE.UU.
08-02-2022;7.6;0.49;0.26;1.6;0.236;10;88;3.11;0.8;;red;9.3;medium;restaurant;EE.UU.
08-02-2022;7.5;0.6;0.03;1.8;0.095;25;99;3.35;0.54;0.995;white;10.1;medium;store;EE.UU.
08-02-2022;8.2;0.4;0.44;2.8;0.089;11;43;3.53;0.61;0.9975;white;10.5;medium;bar;EE.UU.
09-02-2022;7.1;0.43;0.42;5.5;0.07;29;129;3.42;0.72;;white;10.5;medium;bar;EE.UU.
09-02-2022;7.1;0.68;0;2.2;0.073;12;22;3.48;0.5;;red;9.3;medium;store;EE.UU.
09-02-2022;7.1;0.43;0.42;5.5;0.071;28;128;3.42;0.71;0.9973;white;10.5;medium;bar;EE.UU.
09-02-2022;7.1;0.43;0.42;5.5;0.071;28;128;3.42;0.71;;white;10.5;medium;store;EE.UU.
09-02-2022;7.1;0.43;0.42;5.5;0.07;29;129;3.42;0.72;;red;10.5;medium;store;EE.UU.
09-02-2022;7.5;0.6;0.03;1.8;0.095;25;99;3.35;0.54;;white;10.1;medium;bar;EE.UU.
10-02-2022;6.8;0.6;0.18;1.9;0.079;18;86;3.59;0.57;;red;9.3;medium;bar;EE.UU.
11-02-2022;7.8;0.53;0.04;1.7;0.076;17;31;3.33;0.56;;white;10;medium;bar;EE.UU.
11-02-2022;7.6;0.95;0.03;2;0.09;7;20;3.2;0.56;;red;9.6;medium;restaurant;EE.UU.
11-02-2022;7.6;0.68;0.02;1.3;0.072;9;20;3.17;1.08;0.9965;red;9.2;low;restaurant;EE.UU.
12-02-2022;7.4;0.6;0.26;7.3;0.07;36;121;3.37;0.49;;red;9.4;medium;store;EE.UU.
12-02-2022;7.3;0.59;0.26;7.2;0.07;35;121;3.37;0.49;;red;9.4;medium;restaurant;EE.UU.
13-02-2022;7.5;0.705;0.24;1.8;;15;63;3;1.59;;white;9.5;medium;store;EE.UU.
13-02-2022;6.8;0.63;0.07;2.1;0.089;11;44;3.47;0.55;0.9953;white;10.4;medium;bar;EE.UU.
13-02-2022;7.3;0.55;0.03;1.6;0.072;17;42;3.37;0.48;;red;9;low;restaurant;EE.UU.
13-02-2022;6.8;0.64;0.1;2.1;0.085;18;101;3.34;0.52;;white;10.2;medium;store;EE.UU.
13-02-2022;7.8;0.63;0.48;1.7;0.1;14;96;3.19;0.62;;red;9.5;medium;store;EE.UU.
14-02-2022;7.5;0.52;0.42;2.3;0.087;8;38;3.58;0.61;;white;10.5;medium;store;EE.UU.
14-02-2022;7.9;0.885;0.03;1.8;0.058;4;8;3.36;0.33;;red;9.1;low;store;EE.UU.
14-02-2022;7.4;0.62;0.05;1.9;0.068;24;42;3.42;0.57;;white;11.5;medium;store;EE.UU.
14-02-2022;6.9;0.5;0.04;1.5;0.085;19;49;3.35;0.78;0.9958;white;9.5;medium;restaurant;EE.UU.
14-02-2022;7.3;0.38;0.21;2;0.08;7;35;3.33;0.47;;red;9.5;medium;restaurant;EE.UU.
14-02-2022;8;0.42;0.17;2;0.073;6;18;3.29;0.61;;red;9.2;medium;restaurant;EE.UU.
14-02-2022;7.3;0.38;0.21;2;0.08;7;35;3.33;0.47;;red;9.5;medium;restaurant;EE.UU.
14-02-2022;8;0.42;0.17;2;0.073;6;18;3.29;0.61;;red;9.2;medium;restaurant;EE.UU.
15-02-2022;8.8;0.61;0.14;2.4;0.067;10;42;3.19;0.59;;red;9.5;medium;bar;EE.UU.
15-02-2022;7;0.805;0;2.5;0.068;7;20;3.48;0.56;;red;9.6;medium;restaurant;EE.UU.
15-02-2022;8.8;0.61;0.14;2.4;0.067;10;42;3.19;0.59;;red;9.5;medium;store;EE.UU.
16-02-2022;6.8;0.61;0.2;1.8;0.077;11;65;3.54;0.58;;red;9.3;medium;restaurant;EE.UU.
16-02-2022;8.9;0.61;0.49;2;0.27;23;110;3.12;1.02;;white;9.3;medium;bar;EE.UU.
16-02-2022;7.2;0.73;0.02;2.5;0.076;16;42;3.44;0.52;0.9972;white;9.3;medium;restaurant;EE.UU.
17-02-2022;7.4;0.39;0.48;2;0.082;14;67;3.34;0.55;;red;9.2;medium;restaurant;EE.UU.
17-02-2022;7.7;0.705;0.1;2.6;0.084;9;26;3.39;0.49;;white;9.7;medium;bar;EE.UU.
17-02-2022;7.9;0.5;0.33;2;0.084;15;143;3.2;0.55;;white;9.5;medium;restaurant;EE.UU.
17-02-2022;8.9;0.31;0.57;2;0.111;26;85;3.26;0.53;0.9971;red;9.7;medium;restaurant;EE.UU.
17-02-2022;7.9;0.49;0.32;1.9;0.082;17;144;3.2;0.55;;white;9.5;medium;bar;EE.UU.
17-02-2022;6.7;0.62;0.21;1.9;0.079;8;62;3.52;0.58;;white;9.3;medium;restaurant;EE.UU.
18-02-2022;8.2;0.5;0.35;2.9;0.077;21;127;3.23;0.62;0.9976;white;9.4;medium;restaurant;EE.UU.
18-02-2022;7.6;0.55;0.21;2.2;0.071;7;28;3.28;0.55;;white;9.7;medium;restaurant;EE.UU.
18-02-2022;6.8;0.63;0.12;3.8;0.099;16;126;3.28;0.61;0.9969;red;9.5;medium;restaurant;EE.UU.
18-02-2022;7.6;0.55;0.21;2.2;0.071;7;28;3.28;0.55;;white;9.7;medium;restaurant;EE.UU.
18-02-2022;6.4;0.37;0.25;1.9;0.074;21;49;3.57;0.62;;red;9.8;medium;store;EE.UU.
19-02-2022;11.5;0.3;0.6;2;0.067;12;27;3.11;0.97;;red;10.1;medium;restaurant;EE.UU.
19-02-2022;7.3;0.58;0.3;2.4;0.074;15;55;3.46;0.59;0.9968;red;10.2;medium;bar;EE.UU.
19-02-2022;7.8;0.59;0.33;2;0.074;24;120;3.25;0.54;;white;9.4;medium;restaurant;EE.UU.
20-02-2022;7;0.42;0.35;1.6;0.088;16;39;3.34;0.55;;red;9.2;medium;bar;EE.UU.
20-02-2022;6.9;1.09;0.06;2.1;0.061;12;31;3.51;0.43;;white;11.4;low;restaurant;EE.UU.
20-02-2022;9.6;0.32;0.47;1.4;0.056;9;24;3.22;0.82;;white;10.3;high;store;EE.UU.
20-02-2022;8.8;0.37;0.48;2.1;0.097;39;145;3.04;1.03;0.9975;white;9.3;medium;store;EE.UU.
20-02-2022;7;0.43;0.36;1.6;0.089;14;37;3.34;0.56;;white;9.2;medium;store;EE.UU.
20-02-2022;5.4;0.835;0.08;1.2;0.046;13;93;3.57;0.85;;red;13;high;bar;EE.UU.
20-02-2022;6.8;0.5;0.11;1.5;0.075;16;49;3.36;0.79;;red;9.5;medium;bar;EE.UU.
21-02-2022;12.8;0.3;0.74;2.6;0.095;9;28;3.2;0.77;;white;10.8;high;restaurant;EE.UU.
21-02-2022;7.8;0.57;0.31;1.8;0.069;26;120;3.29;0.53;;red;9.3;medium;store;EE.UU.
21-02-2022;11;0.3;0.58;2.1;0.054;7;19;3.31;0.88;;white;10.5;high;restaurant;EE.UU.
21-02-2022;8;0.725;0.24;2.8;0.083;10;62;3.35;0.56;;white;10;medium;store;EE.UU.
21-02-2022;7.8;0.44;0.28;2.7;0.1;18;95;3.22;0.67;;red;9.4;medium;bar;EE.UU.
21-02-2022;11.6;0.44;0.64;2.1;0.059;5;15;3.21;0.67;;white;10.2;medium;restaurant;EE.UU.
21-02-2022;9.7;0.53;0.6;2;0.039;5;19;3.3;0.86;;red;12.4;medium;restaurant;EE.UU.
21-02-2022;12.8;0.3;0.74;2.6;0.095;9;28;3.2;0.77;0.9994;white;10.8;high;store;EE.UU.
22-02-2022;7;0.49;0.49;5.6;0.06;26;121;3.34;0.76;;red;10.5;medium;restaurant;EE.UU.
22-02-2022;7.8;0.735;0.08;2.4;0.092;10;41;3.24;0.71;0.9974;red;9.8;medium;store;EE.UU.
22-02-2022;8.2;0.57;0.26;2.2;0.06;28;65;3.3;0.43;;white;10.1;medium;bar;EE.UU.
23-02-2022;7.8;0.34;0.37;2;0.082;24;58;3.34;0.59;;white;9.4;medium;bar;EE.UU.
23-02-2022;7.5;0.49;0.19;1.9;0.076;10;44;3.39;0.54;0.9957;red;9.7;medium;store;EE.UU.
23-02-2022;7.4;0.53;0.26;2;0.101;16;72;3.15;0.57;;red;9.4;medium;store;EE.UU.
23-02-2022;6.8;0.61;0.04;1.5;0.057;5;10;3.42;0.6;;red;9.5;medium;store;EE.UU.
23-02-2022;8.7;0.625;0.16;2;0.101;13;49;3.14;0.57;;red;11;medium;bar;EE.UU.
23-02-2022;8.1;0.725;0.22;2.2;0.072;11;41;3.36;0.55;;red;9.1;medium;restaurant;EE.UU.
23-02-2022;7.8;0.53;0.33;2.4;0.08;24;144;3.3;0.6;0.99655;red;9.5;medium;restaurant;EE.UU.
24-02-2022;8.6;0.645;0.25;2;0.083;8;28;3.28;0.6;;red;10;medium;store;EE.UU.
24-02-2022;8.4;0.635;0.36;2;0.089;15;55;3.31;0.57;;red;10.4;low;store;EE.UU.
25-02-2022;9;0.82;0.14;2.6;0.089;9;23;3.39;0.63;;white;9.8;medium;store;EE.UU.
25-02-2022;7.7;0.43;0.25;2.6;0.073;29;63;3.37;0.58;;white;10.5;medium;bar;EE.UU.
25-02-2022;8.9;0.59;0.5;2;0.337;27;81;3.04;1.61;;red;9.5;medium;store;EE.UU.
26-02-2022;5.2;0.48;0.04;1.6;0.054;19;106;3.54;0.62;0.9927;white;12.2;high;restaurant;EE.UU.
26-02-2022;6.9;0.52;0.25;2.6;0.081;10;37;3.46;0.5;;red;11;medium;bar;EE.UU.
26-02-2022;7.7;0.43;0.25;2.6;0.073;29;63;3.37;0.58;;red;10.5;medium;store;EE.UU.
27-02-2022;8.5;0.37;0.2;2.8;0.09;18;58;3.34;0.7;0.998;white;9.6;medium;restaurant;EE.UU.
27-02-2022;7.2;0.63;0;1.9;0.097;14;38;3.37;0.58;;white;9;medium;restaurant;EE.UU.
